Interval=	0.001 s
ExcelDateTime=	4.3161461872426349e+004	3/2/2018 11:05:05.777636
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.8691 V	10.000 V
0.229	0.0375	0.015
0.23	0.0377	0.016
0.231	0.0381	0.014
0.232	0.0381	0.008
0.233	0.0381	0.003
0.234	0.0381	-0.004
0.235	0.0381	-0.010
0.236	0.0381	-0.015
0.237	0.0381	-0.021
0.238	0.0381	-0.022
0.239	0.0381	-0.021
0.24	0.0381	-0.018
0.241	0.0381	-0.011
0.242	0.0381	-0.006
0.243	0.0381	0.001
0.244	0.0381	0.007
0.245	0.0381	0.012
0.246	0.0381	0.013
0.247	0.0551	0.013
0.248	0.0891	0.009
0.249	0.0891	0.003
0.25	0.0891	-0.004
0.251	0.0891	-0.013
0.252	0.0891	-0.018
0.253	0.0891	-0.022
0.254	0.0891	-0.022
0.255	0.0891	-0.017
0.256	0.0891	-0.007
0.257	0.0891	0.011
0.258	0.0891	0.030
0.259	0.0891	0.051
0.26	0.0891	0.067
0.261	0.0936	0.073
0.262	0.1028	0.069
0.263	0.1028	0.058
0.264	0.1028	0.044
0.265	0.1028	0.030
0.266	0.1028	0.017
0.267	0.1028	0.004
0.268	0.1028	-0.008
0.269	0.1028	-0.017
0.27	0.1028	-0.024
0.271	0.1028	-0.028
0.272	0.1028	-0.030
0.273	0.1028	-0.029
0.274	0.1028	-0.022
0.275	0.1028	-0.016
0.276	0.1028	-0.009
0.277	0.1028	-0.004
0.278	0.1028	0.002
0.279	0.1028	0.006
0.28	0.0817	0.007
0.281	0.0394	0.007
0.282	0.0394	0.002
0.283	0.0394	-0.004
0.284	0.0394	-0.008
0.285	0.0394	-0.015
0.286	0.0394	-0.020
0.287	0.0394	-0.022
0.288	0.0394	-0.025
0.289	0.0394	-0.025
0.29	0.0394	-0.021
0.291	0.0394	-0.016
0.292	0.0394	-0.010
0.293	0.0394	-0.001
0.294	0.0394	0.005
0.295	0.0394	0.010
0.296	0.0394	0.014
0.297	0.0385	0.016
0.298	0.0369	0.012
0.299	0.0369	0.008
0.3	0.0369	0.002
0.301	0.0369	-0.006
0.302	0.0369	-0.012
0.303	0.0369	-0.017
0.304	0.0369	-0.021
0.305	0.0369	-0.021
0.306	0.0369	-0.020
0.307	0.0369	-0.015
0.308	0.0369	-0.009
0.309	0.0369	-0.003
0.31	0.0369	0.003
0.311	0.0369	0.007
0.312	0.0369	0.013
0.313	0.0373	0.013
0.314	0.0381	0.012
0.315	0.0381	0.008
0.316	0.0381	0.002
0.317	0.0381	-0.004
0.318	0.0381	-0.010
0.319	0.0381	-0.015
0.32	0.0381	-0.020
0.321	0.0381	-0.023
0.322	0.0381	-0.025
0.323	0.0381	-0.021
0.324	0.0381	-0.014
0.325	0.0381	-0.009
0.326	0.0381	-0.003
0.327	0.0381	0.003
0.328	0.0381	0.008
0.329	0.0381	0.012
0.33	0.0366	0.013
0.331	0.0334	0.012
0.332	0.0334	0.008
0.333	0.0334	0.003
0.334	0.0334	-0.003
0.335	0.0334	-0.010
0.336	0.0334	-0.015
0.337	0.0334	-0.019
0.338	0.0334	-0.019
0.339	0.0334	-0.020
0.34	0.0334	-0.016
0.341	0.0334	-0.012
0.342	0.0334	-0.007
0.343	0.0334	0.000
0.344	0.0334	0.007
0.345	0.0334	0.011
0.346	0.0350	0.014
0.347	0.0381	0.013
0.348	0.0381	0.012
0.349	0.0381	0.007
0.35	0.0381	0.000
0.351	0.0381	-0.007
0.352	0.0381	-0.012
0.353	0.0381	-0.018
0.354	0.0381	-0.020
0.355	0.0381	-0.022
0.356	0.0381	-0.022
0.357	0.0381	-0.016
0.358	0.0381	-0.011
0.359	0.0381	-0.003
0.36	0.0381	0.003
0.361	0.0381	0.009
0.362	0.0381	0.013
0.363	0.0381	0.016
0.364	0.0375	0.017
0.365	0.0362	0.012
0.366	0.0362	0.006
0.367	0.0362	0.000
0.368	0.0362	-0.007
0.369	0.0362	-0.012
0.37	0.0362	-0.017
0.371	0.0362	-0.018
0.372	0.0362	-0.020
0.373	0.0362	-0.017
0.374	0.0362	-0.012
0.375	0.0362	-0.005
0.376	0.0362	0.002
0.377	0.0362	0.006
0.378	0.0362	0.011
0.379	0.0362	0.014
0.38	0.0360	0.016
0.381	0.0356	0.014
0.382	0.0356	0.010
0.383	0.0356	0.003
0.384	0.0356	-0.003
0.385	0.0356	-0.009
0.386	0.0356	-0.014
0.387	0.0356	-0.019
0.388	0.0356	-0.019
0.389	0.0356	-0.020
0.39	0.0356	-0.016
0.391	0.0356	-0.010
0.392	0.0356	-0.003
0.393	0.0356	0.003
0.394	0.0356	0.009
0.395	0.0356	0.014
0.396	0.0356	0.016
0.397	0.0356	0.016
0.398	0.0356	0.014
0.399	0.0356	0.008
0.4	0.0356	0.004
0.401	0.0356	-0.003
0.402	0.0356	-0.009
0.403	0.0356	-0.014
0.404	0.0356	-0.018
0.405	0.0356	-0.019
0.406	0.0356	-0.019
0.407	0.0356	-0.014
0.408	0.0356	-0.010
0.409	0.0356	-0.004
0.41	0.0356	0.004
0.411	0.0356	0.008
0.412	0.0356	0.014
0.413	0.0371	0.016
0.414	0.0400	0.016
0.415	0.0400	0.013
0.416	0.0400	0.007
0.417	0.0400	0.002
0.418	0.0400	-0.005
0.419	0.0400	-0.011
0.42	0.0400	-0.017
0.421	0.0400	-0.020
0.422	0.0400	-0.022
0.423	0.0400	-0.024
0.424	0.0400	-0.024
0.425	0.0400	-0.021
0.426	0.0400	-0.015
0.427	0.0400	-0.006
0.428	0.0400	0.004
0.429	0.0477	0.014
0.43	0.0631	0.013
0.431	0.0631	-0.001
0.432	0.0631	-0.020
0.433	0.0631	-0.028
0.434	0.0631	-0.025
0.435	0.0631	-0.014
0.436	0.0631	0.000
0.437	0.0631	0.011
0.438	0.0631	0.021
0.439	0.0631	0.025
0.44	0.0631	0.027
0.441	0.0631	0.030
0.442	0.0631	0.031
0.443	0.0631	0.034
0.444	0.0631	0.034
0.445	0.0631	0.035
0.446	0.0571	0.035
0.447	0.0450	0.033
0.448	0.0450	0.028
0.449	0.0450	0.022
0.45	0.0450	0.015
0.451	0.0450	0.007
0.452	0.0450	0.000
0.453	0.0450	-0.005
0.454	0.0450	-0.010
0.455	0.0450	-0.009
0.456	0.0450	-0.009
0.457	0.0450	-0.006
0.458	0.0450	-0.001
0.459	0.0450	0.006
0.46	0.0450	0.012
0.461	0.0450	0.017
0.462	0.0450	0.022
0.463	0.0432	0.023
0.464	0.0397	0.022
0.465	0.0397	0.019
0.466	0.0397	0.012
0.467	0.0397	0.005
0.468	0.0397	-0.002
0.469	0.0397	-0.009
0.47	0.0397	-0.013
0.471	0.0397	-0.014
0.472	0.0397	-0.017
0.473	0.0397	-0.015
0.474	0.0397	-0.010
0.475	0.0397	-0.006
0.476	0.0397	0.001
0.477	0.0397	0.007
0.478	0.0397	0.012
0.479	0.0397	0.016
0.48	0.0385	0.016
0.481	0.0362	0.014
0.482	0.0362	0.009
0.483	0.0362	0.004
0.484	0.0362	-0.005
0.485	0.0362	-0.010
0.486	0.0362	-0.014
0.487	0.0362	-0.019
0.488	0.0362	-0.020
0.489	0.0362	-0.019
0.49	0.0362	-0.017
0.491	0.0362	-0.011
0.492	0.0362	-0.004
0.493	0.0362	0.002
0.494	0.0362	0.007
0.495	0.0362	0.011
0.496	0.0420	0.013
0.497	0.0534	0.010
0.498	0.0534	0.005
