Time,Fura_10,Group,Time,Fura_11,Group,Time,Fura_12,Group,Time,Fura_13,Group,Time,Fura_14,Group,Time,Fura_15,Group,Time,Fura_17,Group
0.16,1.622,ank,0.16,1.787,ank,0.16,1.187,ank,0.16,1.774,ank,0.16,1.464,ank,0.16,1.353,ank,0.16,1.346,ank
0.164,1.635,ank,0.164,1.795,ank,0.164,1.189,ank,0.164,1.786,ank,0.164,1.476,ank,0.164,1.365,ank,0.164,1.36,ank
0.168,1.635,ank,0.168,1.814,ank,0.168,1.196,ank,0.168,1.806,ank,0.168,1.473,ank,0.168,1.367,ank,0.168,1.362,ank
0.172,1.653,ank,0.172,1.829,ank,0.172,1.202,ank,0.172,1.823,ank,0.172,1.485,ank,0.172,1.383,ank,0.172,1.363,ank
0.176,1.681,ank,0.176,1.843,ank,0.176,1.208,ank,0.176,1.838,ank,0.176,1.484,ank,0.176,1.368,ank,0.176,1.368,ank
0.18,1.692,ank,0.18,1.847,ank,0.18,1.213,ank,0.18,1.854,ank,0.18,1.495,ank,0.18,1.384,ank,0.18,1.374,ank
0.184,1.69,ank,0.184,1.875,ank,0.184,1.21,ank,0.184,1.886,ank,0.184,1.507,ank,0.184,1.394,ank,0.184,1.374,ank
0.188,1.697,ank,0.188,1.87,ank,0.188,1.223,ank,0.188,1.914,ank,0.188,1.499,ank,0.188,1.399,ank,0.188,1.375,ank
0.192,1.693,ank,0.192,1.875,ank,0.192,1.224,ank,0.192,1.912,ank,0.192,1.506,ank,0.192,1.393,ank,0.192,1.384,ank
0.196,1.709,ank,0.196,1.901,ank,0.196,1.229,ank,0.196,1.913,ank,0.196,1.512,ank,0.196,1.399,ank,0.196,1.382,ank
0.2,1.716,ank,0.2,1.91,ank,0.2,1.231,ank,0.2,1.953,ank,0.2,1.512,ank,0.2,1.397,ank,0.2,1.39,ank
0.204,1.717,ank,0.204,1.932,ank,0.204,1.237,ank,0.204,1.946,ank,0.204,1.524,ank,0.204,1.409,ank,0.204,1.386,ank
0.208,1.724,ank,0.208,1.902,ank,0.208,1.236,ank,0.208,1.959,ank,0.208,1.512,ank,0.208,1.411,ank,0.208,1.391,ank
0.212,1.73,ank,0.212,1.908,ank,0.212,1.239,ank,0.212,1.957,ank,0.212,1.517,ank,0.212,1.415,ank,0.212,1.403,ank
0.216,1.741,ank,0.216,1.935,ank,0.216,1.24,ank,0.216,1.976,ank,0.216,1.519,ank,0.216,1.414,ank,0.216,1.395,ank
0.22,1.741,ank,0.22,1.928,ank,0.22,1.249,ank,0.22,2.013,ank,0.22,1.544,ank,0.22,1.423,ank,0.22,1.398,ank
0.224,1.739,ank,0.224,1.953,ank,0.224,1.246,ank,0.224,1.997,ank,0.224,1.534,ank,0.224,1.42,ank,0.224,1.402,ank
0.228,1.745,ank,0.228,1.953,ank,0.228,1.246,ank,0.228,1.974,ank,0.228,1.529,ank,0.228,1.422,ank,0.228,1.404,ank
0.232,1.77,ank,0.232,1.958,ank,0.232,1.247,ank,0.232,2.01,ank,0.232,1.531,ank,0.232,1.421,ank,0.232,1.406,ank
0.236,1.772,ank,0.236,1.966,ank,0.236,1.252,ank,0.236,2.021,ank,0.236,1.544,ank,0.236,1.436,ank,0.236,1.406,ank
0.24,1.766,ank,0.24,1.981,ank,0.24,1.251,ank,0.24,2.036,ank,0.24,1.534,ank,0.24,1.433,ank,0.24,1.409,ank
0.244,1.761,ank,0.244,1.977,ank,0.244,1.26,ank,0.244,2.043,ank,0.244,1.538,ank,0.244,1.431,ank,0.244,1.403,ank
0.248,1.758,ank,0.248,1.975,ank,0.248,1.259,ank,0.248,2.049,ank,0.248,1.541,ank,0.248,1.43,ank,0.248,1.413,ank
0.252,1.763,ank,0.252,1.969,ank,0.252,1.259,ank,0.252,2.022,ank,0.252,1.538,ank,0.252,1.437,ank,0.252,1.407,ank
0.256,1.786,ank,0.256,1.966,ank,0.256,1.262,ank,0.256,2.049,ank,0.256,1.543,ank,0.256,1.432,ank,0.256,1.408,ank
0.26,1.786,ank,0.26,1.982,ank,0.26,1.262,ank,0.26,2.046,ank,0.26,1.556,ank,0.26,1.437,ank,0.26,1.413,ank
0.264,1.791,ank,0.264,1.985,ank,0.264,1.262,ank,0.264,2.062,ank,0.264,1.546,ank,0.264,1.443,ank,0.264,1.407,ank
0.268,1.793,ank,0.268,1.975,ank,0.268,1.26,ank,0.268,2.063,ank,0.268,1.542,ank,0.268,1.443,ank,0.268,1.416,ank
0.272,1.791,ank,0.272,1.969,ank,0.272,1.26,ank,0.272,2.07,ank,0.272,1.541,ank,0.272,1.443,ank,0.272,1.416,ank
0.276,1.797,ank,0.276,1.972,ank,0.276,1.263,ank,0.276,2.054,ank,0.276,1.545,ank,0.276,1.439,ank,0.276,1.412,ank
0.28,1.79,ank,0.28,2.002,ank,0.28,1.262,ank,0.28,2.052,ank,0.28,1.558,ank,0.28,1.434,ank,0.28,1.416,ank
0.284,1.797,ank,0.284,1.985,ank,0.284,1.263,ank,0.284,2.051,ank,0.284,1.558,ank,0.284,1.45,ank,0.284,1.419,ank
0.288,1.788,ank,0.288,1.973,ank,0.288,1.268,ank,0.288,2.084,ank,0.288,1.549,ank,0.288,1.443,ank,0.288,1.416,ank
0.292,1.806,ank,0.292,1.975,ank,0.292,1.261,ank,0.292,2.074,ank,0.292,1.552,ank,0.292,1.441,ank,0.292,1.422,ank
0.296,1.789,ank,0.296,1.985,ank,0.296,1.268,ank,0.296,2.076,ank,0.296,1.553,ank,0.296,1.449,ank,0.296,1.423,ank
0.3,1.787,ank,0.3,1.97,ank,0.3,1.261,ank,0.3,2.065,ank,0.3,1.559,ank,0.3,1.443,ank,0.3,1.423,ank
0.304,1.791,ank,0.304,1.942,ank,0.304,1.263,ank,0.304,2.056,ank,0.304,1.556,ank,0.304,1.441,ank,0.304,1.424,ank
0.308,1.79,ank,0.308,1.95,ank,0.308,1.26,ank,0.308,2.059,ank,0.308,1.559,ank,0.308,1.451,ank,0.308,1.417,ank
0.312,1.809,ank,0.312,1.968,ank,0.312,1.262,ank,0.312,2.07,ank,0.312,1.56,ank,0.312,1.455,ank,0.312,1.426,ank
0.316,1.798,ank,0.316,1.944,ank,0.316,1.258,ank,0.316,2.074,ank,0.316,1.555,ank,0.316,1.451,ank,0.316,1.421,ank
0.32,1.793,ank,0.32,1.929,ank,0.32,1.261,ank,0.32,2.056,ank,0.32,1.553,ank,0.32,1.452,ank,0.32,1.418,ank
0.324,1.79,ank,0.324,1.94,ank,0.324,1.262,ank,0.324,2.075,ank,0.324,1.543,ank,0.324,1.455,ank,0.324,1.425,ank
0.328,1.781,ank,0.328,1.936,ank,0.328,1.254,ank,0.328,2.053,ank,0.328,1.555,ank,0.328,1.456,ank,0.328,1.42,ank
0.332,1.797,ank,0.332,1.9,ank,0.332,1.257,ank,0.332,2.054,ank,0.332,1.566,ank,0.332,1.449,ank,0.332,1.422,ank
0.336,1.796,ank,0.336,1.902,ank,0.336,1.254,ank,0.336,2.043,ank,0.336,1.562,ank,0.336,1.443,ank,0.336,1.418,ank
0.34,1.798,ank,0.34,1.888,ank,0.34,1.256,ank,0.34,2.046,ank,0.34,1.562,ank,0.34,1.44,ank,0.34,1.421,ank
0.344,1.794,ank,0.344,1.885,ank,0.344,1.255,ank,0.344,2.031,ank,0.344,1.564,ank,0.344,1.439,ank,0.344,1.417,ank
0.348,1.787,ank,0.348,1.868,ank,0.348,1.257,ank,0.348,2.038,ank,0.348,1.556,ank,0.348,1.442,ank,0.348,1.415,ank
0.352,1.787,ank,0.352,1.87,ank,0.352,1.25,ank,0.352,2.014,ank,0.352,1.551,ank,0.352,1.449,ank,0.352,1.425,ank
0.356,1.776,ank,0.356,1.881,ank,0.356,1.251,ank,0.356,2.016,ank,0.356,1.557,ank,0.356,1.442,ank,0.356,1.426,ank
0.36,1.786,ank,0.36,1.839,ank,0.36,1.246,ank,0.36,2.023,ank,0.36,1.55,ank,0.36,1.441,ank,0.36,1.424,ank
0.364,1.777,ank,0.364,1.836,ank,0.364,1.25,ank,0.364,2.026,ank,0.364,1.554,ank,0.364,1.448,ank,0.364,1.42,ank
0.368,1.771,ank,0.368,1.843,ank,0.368,1.236,ank,0.368,1.988,ank,0.368,1.546,ank,0.368,1.445,ank,0.368,1.421,ank
0.372,1.763,ank,0.372,1.816,ank,0.372,1.237,ank,0.372,1.991,ank,0.372,1.545,ank,0.372,1.441,ank,0.372,1.416,ank
0.376,1.775,ank,0.376,1.818,ank,0.376,1.235,ank,0.376,1.984,ank,0.376,1.539,ank,0.376,1.442,ank,0.376,1.414,ank
0.38,1.765,ank,0.38,1.81,ank,0.38,1.236,ank,0.38,1.992,ank,0.38,1.55,ank,0.38,1.43,ank,0.38,1.413,ank
0.384,1.743,ank,0.384,1.793,ank,0.384,1.234,ank,0.384,1.969,ank,0.384,1.548,ank,0.384,1.43,ank,0.384,1.417,ank
0.388,1.753,ank,0.388,1.77,ank,0.388,1.229,ank,0.388,1.966,ank,0.388,1.543,ank,0.388,1.433,ank,0.388,1.411,ank
0.392,1.741,ank,0.392,1.762,ank,0.392,1.229,ank,0.392,1.95,ank,0.392,1.539,ank,0.392,1.436,ank,0.392,1.414,ank
0.396,1.737,ank,0.396,1.759,ank,0.396,1.22,ank,0.396,1.942,ank,0.396,1.546,ank,0.396,1.419,ank,0.396,1.422,ank
0.4,1.74,ank,0.4,1.755,ank,0.4,1.223,ank,0.4,1.918,ank,0.4,1.549,ank,0.4,1.434,ank,0.4,1.413,ank
0.404,1.742,ank,0.404,1.74,ank,0.404,1.221,ank,0.404,1.902,ank,0.404,1.54,ank,0.404,1.43,ank,0.404,1.404,ank
0.408,1.722,ank,0.408,1.719,ank,0.408,1.214,ank,0.408,1.91,ank,0.408,1.536,ank,0.408,1.429,ank,0.408,1.408,ank
0.412,1.719,ank,0.412,1.732,ank,0.412,1.214,ank,0.412,1.879,ank,0.412,1.522,ank,0.412,1.418,ank,0.412,1.407,ank
0.416,1.705,ank,0.416,1.692,ank,0.416,1.212,ank,0.416,1.868,ank,0.416,1.53,ank,0.416,1.427,ank,0.416,1.409,ank
0.42,1.713,ank,0.42,1.678,ank,0.42,1.208,ank,0.42,1.887,ank,0.42,1.534,ank,0.42,1.428,ank,0.42,1.404,ank
0.424,1.703,ank,0.424,1.678,ank,0.424,1.203,ank,0.424,1.846,ank,0.424,1.529,ank,0.424,1.416,ank,0.424,1.403,ank
0.428,1.69,ank,0.428,1.664,ank,0.428,1.204,ank,0.428,1.845,ank,0.428,1.529,ank,0.428,1.418,ank,0.428,1.407,ank
0.432,1.7,ank,0.432,1.655,ank,0.432,1.2,ank,0.432,1.848,ank,0.432,1.524,ank,0.432,1.41,ank,0.432,1.395,ank
0.436,1.679,ank,0.436,1.648,ank,0.436,1.195,ank,0.436,1.826,ank,0.436,1.51,ank,0.436,1.408,ank,0.436,1.398,ank
0.44,1.659,ank,0.44,1.642,ank,0.44,1.189,ank,0.44,1.81,ank,0.44,1.52,ank,0.44,1.409,ank,0.44,1.395,ank
0.444,1.678,ank,0.444,1.621,ank,0.444,1.181,ank,0.444,1.801,ank,0.444,1.507,ank,0.444,1.398,ank,0.444,1.391,ank
0.448,1.669,ank,0.448,1.612,ank,0.448,1.183,ank,0.448,1.785,ank,0.448,1.506,ank,0.448,1.394,ank,0.448,1.387,ank
0.452,1.652,ank,0.452,1.598,ank,0.452,1.178,ank,0.452,1.781,ank,0.452,1.497,ank,0.452,1.4,ank,0.452,1.387,ank
0.456,1.648,ank,0.456,1.588,ank,0.456,1.177,ank,0.456,1.745,ank,0.456,1.501,ank,0.456,1.397,ank,0.456,1.39,ank
0.46,1.644,ank,0.46,1.585,ank,0.46,1.171,ank,0.46,1.759,ank,0.46,1.496,ank,0.46,1.399,ank,0.46,1.378,ank
0.464,1.639,ank,0.464,1.583,ank,0.464,1.169,ank,0.464,1.738,ank,0.464,1.499,ank,0.464,1.385,ank,0.464,1.388,ank
0.468,1.622,ank,0.468,1.561,ank,0.468,1.17,ank,0.468,1.71,ank,0.468,1.491,ank,0.468,1.373,ank,0.468,1.376,ank
0.472,1.624,ank,0.472,1.549,ank,0.472,1.164,ank,0.472,1.705,ank,0.472,1.484,ank,0.472,1.379,ank,0.472,1.37,ank
0.476,1.609,ank,0.476,1.542,ank,0.476,1.16,ank,0.476,1.675,ank,0.476,1.48,ank,0.476,1.377,ank,0.476,1.377,ank
0.48,1.602,ank,0.48,1.545,ank,0.48,1.155,ank,0.48,1.684,ank,0.48,1.474,ank,0.48,1.375,ank,0.48,1.371,ank
0.484,1.586,ank,0.484,1.522,ank,0.484,1.149,ank,0.484,1.672,ank,0.484,1.473,ank,0.484,1.359,ank,0.484,1.366,ank
