Time,Channel 1,Channel 2,Channel 3
0.179,62.19,0.5341,-0.243
0.18,27.03,0.5341,-0.203
0.181,73.75,0.5341,-0.189
0.182,126.41,0.5341,-0.055
0.183,70.78,0.5341,0.064
0.184,71.72,0.5341,0.087
0.185,72.66,0.5341,0.207
0.186,-10.16,0.3710,0.232
0.187,-16.41,0.0450,0.187
0.188,8.91,0.0450,0.199
0.189,-62.81,0.1918,0.205
0.19,-118.91,0.4853,0.073
0.191,-84.06,0.4853,-0.033
0.192,-89.06,0.4853,-0.095
0.193,-92.97,0.4853,-0.211
0.194,-20.47,0.4853,-0.281
0.195,2.97,0.4889,-0.252
0.196,10.94,0.4959,-0.275
0.197,100.16,0.4959,-0.230
0.198,101.41,0.4959,-0.074
0.199,51.88,0.4959,-0.028
0.2,100.47,0.4959,0.029
0.201,95.94,0.4959,0.173
0.202,20.31,0.4959,0.221
0.203,19.06,0.4959,0.214
0.204,0.47,0.5273,0.259
0.205,-75.31,0.5900,0.215
0.206,-61.87,0.5900,0.109
0.207,-68.13,0.5900,0.091
0.208,-125.47,0.5900,-0.028
0.209,-89.22,0.5900,-0.160
0.21,-57.50,0.5900,-0.206
0.211,-62.34,0.5900,-0.275
0.212,32.97,0.5900,-0.331
0.213,104.53,0.5900,-0.209
0.214,56.41,0.5900,-0.122
0.215,97.34,0.5900,-0.096
0.216,121.72,0.5900,0.073
0.217,40.00,0.5900,0.147
0.218,52.81,0.5900,0.153
0.219,80.47,0.5900,0.253
0.22,-6.41,0.6056,0.314
0.221,-50.47,0.6369,0.240
0.222,-32.66,0.6369,0.213
0.223,-94.38,0.6369,0.175
0.224,-115.16,0.6369,0.024
0.225,-63.13,0.6369,-0.055
0.226,-101.88,0.6369,-0.102
0.227,-110.47,0.6369,-0.259
0.228,0.78,0.6369,-0.323
0.229,48.28,0.6369,-0.258
0.23,45.00,0.6369,-0.226
0.231,105.78,0.6369,-0.168
0.232,109.53,0.6369,-0.015
0.233,64.06,0.6369,0.052
0.234,103.75,0.6369,0.113
0.235,68.12,0.4356,0.259
0.236,-16.56,0.0331,0.250
0.237,7.97,0.0331,0.226
0.238,-26.09,0.2161,0.266
0.239,-97.81,0.5822,0.174
0.24,-88.91,0.5822,0.070
0.241,-84.84,0.5822,-0.004
0.242,-112.50,0.5822,-0.100
0.243,-62.19,0.5822,-0.229
0.244,-15.62,0.5822,-0.224
0.245,-35.47,0.5822,-0.260
0.246,47.66,0.5822,-0.295
0.247,111.25,0.5822,-0.165
0.248,67.97,0.5822,-0.072
0.249,95.62,0.5822,-0.029
0.25,106.72,0.5822,0.119
0.251,39.84,0.5822,0.184
0.252,51.41,0.5822,0.198
0.253,47.50,0.5822,0.287
0.254,-52.03,0.5862,0.293
0.255,-65.78,0.5944,0.183
0.256,-60.94,0.5944,0.162
0.257,-132.03,0.5944,0.061
0.258,-107.81,0.5944,-0.102
0.259,-49.06,0.5944,-0.154
0.26,-70.47,0.5944,-0.200
0.261,-50.31,0.5944,-0.295
0.262,54.69,0.5944,-0.301
0.263,67.97,0.5944,-0.186
0.264,41.56,0.5944,-0.165
0.265,122.34,0.5944,-0.103
0.266,105.94,0.5944,0.080
0.267,40.16,0.5944,0.109
0.268,82.50,0.5944,0.160
0.269,56.88,0.4226,0.274
0.27,-39.53,0.0791,0.274
0.271,-19.22,0.0791,0.195
0.272,-35.00,0.2233,0.235
0.273,-127.97,0.5119,0.125
0.274,-102.97,0.5119,-0.021
0.275,-73.75,0.5119,-0.081
0.276,-97.81,0.5119,-0.168
0.277,-40.16,0.5119,-0.277
0.278,7.19,0.4752,-0.248
0.279,-4.84,0.4019,-0.262
0.28,76.56,0.4019,-0.258
0.281,116.56,0.4019,-0.109
0.282,62.50,0.4019,-0.025
0.283,82.34,0.4019,0.016
0.284,112.03,0.4019,0.140
0.285,30.94,0.2807,0.240
0.286,11.25,0.0384,0.202
0.287,27.19,0.2175,0.263
0.288,-55.31,0.5756,0.256
0.289,-72.66,0.5756,0.152
0.29,-68.59,0.5756,0.111
0.291,-124.06,0.5756,0.015
0.292,-104.22,0.5756,-0.138
0.293,-48.75,0.5756,-0.194
0.294,-59.69,0.5756,-0.235
0.295,-22.50,0.5756,-0.313
0.296,70.63,0.5756,-0.280
0.297,76.87,0.5756,-0.172
0.298,78.28,0.5756,-0.126
0.299,121.56,0.5756,-0.015
0.3,75.16,0.5756,0.117
0.301,49.69,0.5756,0.135
0.302,81.56,0.5756,0.216
0.303,19.22,0.5902,0.298
0.304,-52.66,0.6194,0.255
0.305,-27.50,0.6194,0.193
0.306,-66.88,0.6194,0.200
0.307,-133.91,0.6194,0.059
0.308,-89.53,0.6194,-0.068
0.309,-90.78,0.6194,-0.120
0.31,-100.62,0.6194,-0.250
0.311,-13.91,0.6194,-0.321
0.312,48.59,0.6194,-0.278
0.313,36.72,0.6194,-0.224
0.314,77.19,0.6194,-0.204
0.315,122.03,0.6194,-0.070
0.316,74.69,0.6194,0.040
0.317,82.50,0.6194,0.080
0.318,87.34,0.6194,0.205
0.319,19.69,0.4162,0.254
0.32,9.22,0.0100,0.244
0.321,-9.06,0.1864,0.273
0.322,-86.09,0.5391,0.226
0.323,-115.47,0.5391,0.101
0.324,-77.97,0.5391,-0.005
0.325,-95.16,0.5391,-0.055
0.326,-88.44,0.5391,-0.195
0.327,-22.97,0.5391,-0.232
0.328,-17.03,0.5391,-0.241
0.329,11.56,0.5391,-0.266
0.33,91.25,0.5391,-0.218
0.331,90.78,0.5391,-0.084
0.332,71.09,0.5391,-0.036
0.333,118.13,0.5391,0.058
0.334,84.69,0.5391,0.200
0.335,11.72,0.5391,0.228
0.336,25.31,0.5391,0.223
0.337,-8.75,0.5637,0.278
0.338,-71.41,0.6131,0.206
0.339,-36.88,0.6131,0.136
0.34,-76.87,0.6131,0.132
0.341,-145.16,0.6131,-0.018
0.342,-83.75,0.6131,-0.158
0.343,-55.31,0.6131,-0.186
0.344,-74.53,0.6131,-0.269
0.345,15.31,0.6131,-0.335
0.346,81.72,0.6131,-0.238
0.347,46.87,0.6131,-0.171
0.348,98.44,0.6131,-0.144
0.349,136.41,0.6131,0.026
0.35,58.28,0.6131,0.128
0.351,67.03,0.6131,0.142
0.352,76.72,0.6131,0.263
0.353,-22.50,0.4348,0.296
0.354,-27.03,0.0781,0.218
0.355,0.00,0.2216,0.242
0.356,-96.09,0.5084,0.218
0.357,-127.34,0.5084,0.049
0.358,-76.87,0.5084,-0.037
0.359,-96.87,0.5084,-0.104
0.36,-81.25,0.5084,-0.231
0.361,-7.50,0.5084,-0.267
0.362,10.78,0.5084,-0.246
